time,open,high,low,close,tick_volume,ema_220,slope_20,atr_14,slope_normalized,bb_upper,bb_middle,bb_lower,rsi_14,donchian_upper,donchian_lower,HourOfDay,DayOfWeek,ATR_normalized,strategy,direction,y
2021-11-17 03:00:00+00:00,1.13215,1.13217,1.12632,1.12884,2168,1.147419574382859,-0.00013941202161869005,0.0015185780930902708,-0.09180431500561809,1.1403051360966943,1.1342725,1.1282398639033058,20.072555487662612,1.1384,1.13085,3,2,1.2789957664394414,trend,short,0
2021-11-19 08:00:00+00:00,1.13435,1.1345,1.13228,1.1323400000000001,2386,1.1421347623962244,-6.47808206807321e-05,0.0010177172051223536,-0.06365306624932603,1.1385687741434907,1.1353429166666666,1.1321170591898426,34.37840831402029,1.13737,1.13238,8,4,0.8100957659726503,trend,short,1
2021-11-19 09:00:00+00:00,1.1323400000000001,1.1323400000000001,1.12825,1.12989,4156,1.1420239500668468,-6.579185397773691e-05,0.0012371659761850533,-0.05317948864113918,1.139181595906622,1.1352075,1.1312334040933778,26.32872100120447,1.13737,1.13228,9,4,0.9818052912182319,trend,short,1
2021-11-22 14:00:00+00:00,1.12797,1.12797,1.12356,1.12572,4859,1.1388035860714303,-0.00011213797414241222,0.0016761860705768075,-0.06690067177555259,1.131406185856038,1.1280645833333334,1.1247229808106287,36.81356160243505,1.13218,1.12596,14,0,1.20272906041115,trend,short,1
2021-11-22 19:00:00+00:00,1.12398,1.12406,1.12306,1.12312,1219,1.1381688853437306,-0.00011580221254394729,0.0016112318615433478,-0.07187184868168137,1.130315061126479,1.1268875,1.1234599388735211,32.31363997012815,1.12918,1.12356,19,0,1.1391108963312988,trend,short,1
2021-11-24 08:00:00+00:00,1.12451,1.12548,1.12198,1.1221700000000001,2811,1.1342489288781072,-9.659055836334086e-05,0.0011614850148351135,-0.08316126091136271,1.126716173466252,1.12464625,1.122576326533748,34.613448117795826,1.12746,1.1232199999999999,8,2,0.85879491084107,trend,short,1
2021-11-24 09:00:00+00:00,1.1222,1.12354,1.1205,1.12076,2862,1.1341268571235543,-9.770286100257985e-05,0.0012956646566326005,-0.07540752192508446,1.127088920551237,1.12443375,1.1217785794487627,29.21351561038834,1.12746,1.12198,9,2,0.957271371068161,trend,short,0
2022-01-13 07:00:00+00:00,1.14382,1.1466,1.14382,1.1464,1872,1.1345051338085883,8.97321225041825e-05,0.0010853189999496943,0.0826781089323431,1.1496968776503473,1.1422458333333334,1.1347947890163195,76.98250675181959,1.14523,1.13543,7,3,0.9418521409556803,trend,long,0
2022-01-18 15:00:00+00:00,1.13664,1.13668,1.13427,1.13428,3393,1.138456425114394,9.853641020374226e-06,0.0013430606840806388,0.007336705732786236,1.1436727197761611,1.13974,1.1358072802238388,19.59577358998318,1.14211,1.13562,15,1,1.1629496031233306,range,long,0
2022-01-18 16:00:00+00:00,1.13429,1.13436,1.1326100000000001,1.13339,2455,1.1384105751133589,6.492974585803335e-06,0.001372127778074873,0.004732048056714608,1.1442777435636085,1.1394266666666668,1.1345755897697252,17.74959729346203,1.14211,1.13427,16,1,1.1841691186935535,range,long,0
